product_id	subtour_code	subtour_code note	min_guest_num	max_guest_num	created
104	1		1	4	2006-03-14 11:47:08
149	1		1	4	2006-04-04 07:20:04
202	USAN7-230;USANLA123-3540		1	4	2006-06-29 10:34:29
216	;2-113;2-2149;		1	4	2006-07-11 06:25:19
220	111	111	1	4	2006-07-13 13:50:42
221	;USLA2-112;USHNLL4-236;USLA7-248;USLA7-253;USLA2-121;		1	4	2006-07-13 14:25:45
222	USLA24-4086;USLV6-203		1	4	2006-07-14 05:59:09
274	22	22	1	1	2006-09-12 10:02:49
667	USHNLL4-374;USLA2-103;USHNLL4-374;USLA2-103;		1	4	2008-06-20 07:38:08
2313	4084;4087;4084		1	1	2009-06-22 09:07:25
2350	112	112	1	4	2009-08-05 07:15:31
2393	;4084;4087;		1	1	2009-08-31 04:08:25
2966	565;3423;1;2;	是吧	1	4	2010-03-16 08:26:25
15075	LASEA-LP4;LASEA-LP35		1	4	2008-11-03 17:31:16
15157	;46-2966;62-102;2-4104;2-113;90-5020		1	4	2009-08-26 14:39:05
15158	46-147;62-102;2-4037;2-628;90-5020	LA三晚酒店：第6天和第10天加定Comfort Suite Inn, Rosemead；若客人选择升级到Hilton或Pacific,需加定两晚Hilton/Pacific,升级一晚;第11天早上途风付费送至机场	1	4	2009-08-26 15:31:15
15218	90-4980;46-2966;2-607;2-131	USLA2-414-西峡谷;USLA2-131-南峡谷	1	4	2009-12-10 15:45:58
15219	46-2966;2-131		1	4	2009-12-10 16:30:33
15220	46-147;2-607		1	4	2009-12-10 17:07:55
15221	46-2966;2-300	2966天马美东团+海鸥的套餐团2-300	1	4	2009-12-11 09:33:48
15222	46-147;2-606	147天马美东团+海鸥的套餐团2-606	1	4	2009-12-11 10:13:15
15229	46-147;2-310	46-147天马美东团+海鸥套餐团210	1	4	2009-12-14 09:33:27
15238	46-2966;2-136		1	4	2009-12-14 15:19:56
15241	46-2966;2-114		1	4	2009-12-15 09:37:09
15259	90-4980;2-113		1	4	2010-01-05 14:49:57
15635	62-2335;151-4822;62-102;62-2335		1	4	2011-02-22 14:47:38
15785	62-2335,42-2141,62-102,62-2335		1	4	2011-09-15 15:33:36
16246	;15128;3281;3486;349;102;		1	2	2012-09-05 15:39:20
16556	2-130;2-4037;2059-15351;2059-16704	最后一天购物结束后，LA途风接驳车付费送机	2	4	2013-01-08 17:18:21
16557	11-6305;11-6323;2-4037;2059-15351;2059-16704	6305南峡/6323西峡行程结束后，Bravo收费送客人到酒店4037，需在Bravo单独预定接驳车(底价前两人$65.00,多一人加$5.00)(费用已包含在团费中),购物后LA途风接驳车付费送机	2	4	2013-01-08 17:45:05
16598	82-4592;62-102;2-4104;2-130;90-5020	第四天结束后导游送到华盛顿机场飞往洛杉矶，SEA提前免费接机，住4104，第五天参加城市游，住130原本接机那天的酒店，第六天开始130到第11天结束住4104，第12天老宋付费送到洛杉矶机场开始5020	1	4	2013-01-24 15:32:34
16605	82-4592;1067-16568;62-102;2-4104;2-130;2059-15351	第四天结束后飞往迈阿密参加16568，到第7天结束飞往洛杉矶，海鸥提前免费接机住4104，第八城市游仍住4104，第九天开始130，到第14天结束延住4104，第十五天购物游，LA途风接驳车付费送机	1	4	2013-01-28 15:33:05
16626	90-5020,6-2336,82-4592	第四天行程结束导游送到檀香山机场飞往旧金山，LS免费接机，第九天结束飞往纽约，LL免费接机	1	4	2013-01-31 11:01:35
16631	82-4592;6-2336;62-102;2-4035;90-5020	第四天结束导游送到华盛顿机场飞往旧金山，LS免费接机，第九天是LS原本送机的那天，换成参加老宋洛杉矶市区游，晚上加定Holiday Inn，第十天老宋付费送到LAX飞往檀香山，CTB接机参加5020	1	4	2013-02-01 09:55:57
16668	46-147; 62-2335; 2-4037; 62-102; 2-232; 2-110; 2059-15545; 2059-16704	第6天结束后飞往洛杉矶，老宋付费接机住Comfort Suite Inn，第7天参加城市游，晚上住Comfort Suite Inn，第八天开始232到第10天结束住Comfort Suite Inn，第11天开始110到第13天结束住Comfort Suite Inn，第14天购物游加LA途风接驳车送机	1	4	2013-03-11 13:56:05
16671	46-2966; 2-4037; 2-15005	第六天行程结束之后天马送客人到波士顿机场，飞往洛杉矶，海鸥提前免费接机，并送客人入住4037酒店，第七天在酒店门口上车参加15005	1	4	2013-03-12 17:20:51
16673	82-4592; 2-4037; 2-15005; 2059-15351	最后一天结束后由LA途风接驳车付费送机；第4天、11天住宿两晚comfort inn酒店	1	4	2013-03-13 15:31:10
16675	2-5614;213-4049; 82-4592	第十天结束住4049，第十一天早上自行乘坐洛杉矶Comfort Inn Cockatoo LAX酒店免费机场接送车前往洛杉矶机场,飞往纽约开始4592	1	4	2013-03-13 17:04:01
16681	6-16869; 6-192; 90-5020	第一天客人自行乘坐免费穿梭巴士入住Red Roof Inn，第八天行程结束后住Red Roof Inn，第九天早上坐机场穿梭巴士去机场飞往檀香山，参加5020	1	4	2013-03-18 16:40:40
16690	2-134;2-4037;2-15005	第四天结束后住4037，第五天开始15005	1	4	2013-03-20 15:41:14
16692	2-134; 2-4037; 2-15005; 62-102; 62-2335	134结束延住4037；第5天酒店门口上车参加15005；第11天延住4037；次日参加城市游，老宋付费送机	1	4	2013-03-20 17:11:53
